,owner,project name,issue id,clone_link,clone_links
349,boundlessgeo,qgis-webappbuilder-plugin,391,,https://github.com/boundlessgeo/qgis-webappbuilder-plugin.git
350,ansible,ansible,30250,,https://github.com/ansible/ansible.git
351,clab,dynet,869,,https://github.com/clab/dynet.git
352,mesonbuild,meson,1517,,https://github.com/mesonbuild/meson.git
353,ansible,ansible-modules-extras,2021,,https://github.com/ansible/ansible-modules-extras.git
354,basho,riak-python-client,489,,https://github.com/basho/riak-python-client.git
355,dirk-thomas,vcstool,43,,https://github.com/dirk-thomas/vcstool.git
356,Ex-Mente,auxi.0,109,,https://github.com/Ex-Mente/auxi.0.git
357,associatedpress,geomancer,70,,https://github.com/associatedpress/geomancer.git
358,ansible,ansible,45030,,https://github.com/ansible/ansible.git
359,Difrex,surok,9,,https://github.com/Difrex/surok.git
360,CartoDB,cartoframes,91,,https://github.com/CartoDB/cartoframes.git
361,ansible,ansible,39007,,https://github.com/ansible/ansible.git
362,Tribler,tribler,2847,,https://github.com/Tribler/tribler.git
363,pandas-dev,pandas,16291,,https://github.com/pandas-dev/pandas.git
364,SciTools,cartopy,802,,https://github.com/SciTools/cartopy.git
365,ContinuumIO,blaze,1135,,https://github.com/ContinuumIO/blaze.git
366,Cypresslin,UbunTuTuMKII,128,,https://github.com/Cypresslin/UbunTuTuMKII.git
367,ansible,ansible,43447,,https://github.com/ansible/ansible.git
368,SonarOpenCommunity,sonar-cxx,932,,https://github.com/SonarOpenCommunity/sonar-cxx.git
369,bokeh,bokeh,6258,,https://github.com/bokeh/bokeh.git
370,CSC-IT-Center-for-Science,pouta-blueprints,314,,https://github.com/CSC-IT-Center-for-Science/pouta-blueprints.git
371,lbryio,lbry,1172,,https://github.com/lbryio/lbry.git
372,ansible,ansible,31976,,https://github.com/ansible/ansible.git
373,capitalone,cloud-custodian,3195,,https://github.com/capitalone/cloud-custodian.git
374,influxdata,telegraf,4526,,https://github.com/influxdata/telegraf.git
375,ansible,ansible,15085,,https://github.com/ansible/ansible.git
376,ansible,ansible,28493,,https://github.com/ansible/ansible.git
377,conan-io,conan,2274,,https://github.com/conan-io/conan.git
378,ray-project,ray,806,,https://github.com/ray-project/ray.git
379,Cadasta,cadasta-platform,1630,,https://github.com/Cadasta/cadasta-platform.git
380,ansible,ansible,30614,,https://github.com/ansible/ansible.git
381,frictionlessdata,tabulator-py,84,,https://github.com/frictionlessdata/tabulator-py.git
382,saltstack,salt,15984,,https://github.com/saltstack/salt.git
383,letsencrypt,letsencrypt,2468,,https://github.com/letsencrypt/letsencrypt.git
384,ImageEngine,gaffer,665,,https://github.com/ImageEngine/gaffer.git
385,ansible,ansible,44968,,https://github.com/ansible/ansible.git
386,ansible,ansible,22470,,https://github.com/ansible/ansible.git
387,ContinuumIO,blaze,1181,,https://github.com/ContinuumIO/blaze.git
388,ansible,ansible,36398,,https://github.com/ansible/ansible.git
389,pgmpy,pgmpy,889,,https://github.com/pgmpy/pgmpy.git
390,ansible,ansible,26918,,https://github.com/ansible/ansible.git
391,mitmproxy,mitmproxy,1476,,https://github.com/mitmproxy/mitmproxy.git
392,canihavesomecoffee,sample-platform,27,,https://github.com/canihavesomecoffee/sample-platform.git
393,pywinauto,pywinauto,226,,https://github.com/pywinauto/pywinauto.git
394,biocore,qiime,1928,,https://github.com/biocore/qiime.git
395,pandas-dev,pandas,8554,,https://github.com/pandas-dev/pandas.git
396,Tribler,tribler,2693,,https://github.com/Tribler/tribler.git
397,ansible,ansible,27715,,https://github.com/ansible/ansible.git
398,bokeh,bokeh,7116,,https://github.com/bokeh/bokeh.git
399,pandas-dev,pandas,22465,,https://github.com/pandas-dev/pandas.git
